P_DAY,RANK_ORDER,TRACK,ARTIST,ISRC,CHART_TYPE,COUNTRY,METRIC_TYPE
2025-08-28,172,Touch,KATSEYE,USUM72407248,Top 200,US,most_streamed
2025-08-28,48,Gabriela,KATSEYE,USUM72503465,Top 200,US,most_streamed
2025-08-28,30,"TAKEDOWN (JEONGYEON, JIHYO, CHAEYOUNG) (from the Netflix film KPop Demon Hunters)",TWICE,USUG12504881,Top 200,US,most_streamed
2025-08-28,37,Strategy (from the Netflix film KPop Demon Hunters),TWICE,US5TA2400303,Top 200,US,most_streamed
2025-02-20,49,Snooze,SZA,USRC12204591,Top 200,US,most_streamed
2025-02-20,109,Nobody Gets Me,SZA,USRC12204598,Top 200,US,most_streamed
2025-02-20,75,Good Days,SZA,USRC12004189,Top 200,US,most_streamed
2025-02-20,142,Broken Clocks,SZA,USRC11701122,Top 200,US,most_streamed
2025-02-20,82,Saturn,SZA,USRC12400216,Top 200,US,most_streamed
2025-02-20,52,BMF,SZA,USRC12403826,Top 200,US,most_streamed
2025-02-20,74,Kill Bill,SZA,USRC12204584,Top 200,US,most_streamed
2025-02-20,93,Tweaker,GELO,QT3F42457524,Top 200,US,most_streamed
2025-02-20,46,DEEPER,PARTYNEXTDOOR,USLD91772024,Top 200,US,most_streamed
2025-02-20,167,M a k e I t T o T h e M o r n i n g,PARTYNEXTDOOR,USLD91757478,Top 200,US,most_streamed
2023-03-16,116,Revenge,XXXTENTACION,USUYG1156895,Top 200,US,most_streamed
2023-03-16,159,Break from Toronto,PARTYNEXTDOOR,USWB11302160,Top 200,US,most_streamed
2023-03-16,21,golden hour,JVKE,GBKPL2204171,Top 200,US,most_streamed
2023-03-16,107,Good Days,SZA,USRC12004189,Top 200,US,most_streamed
2023-03-16,3,Kill Bill,SZA,USRC12204584,Top 200,US,most_streamed
2023-03-16,26,Snooze,SZA,USRC12204591,Top 200,US,most_streamed
2023-03-16,156,Blind,SZA,USRC12204589,Top 200,US,most_streamed
2023-03-16,37,Low,SZA,USRC12204586,Top 200,US,most_streamed
2023-03-16,69,Shirt,SZA,USRC12203632,Top 200,US,most_streamed
2023-03-16,83,Nobody Gets Me,SZA,USRC12204598,Top 200,US,most_streamed
2023-03-16,125,HOPE,NF,USUM72300445,Top 200,US,most_streamed
2023-03-16,113,MOTTO,NF,USUM72300446,Top 200,US,most_streamed
2023-03-16,145,MIENTRAS ME CURO DEL CORA,KAROL G,USUM72300862,Top 200,US,most_streamed
2023-03-16,188,PROVENZA,KAROL G,USUM72205906,Top 200,US,most_streamed
2021-12-30,173,Jocelyn Flores,XXXTENTACION,USUYG1156892,Top 200,US,most_streamed
2021-12-30,113,Do It To It,ACRAZE,QZFPL2100100,Top 200,US,most_streamed
2021-12-30,17,abcdefu,GAYLE,USAT22103652,Top 200,US,most_streamed
2025-10-23,86,Strategy (from the Netflix film KPop Demon Hunters),TWICE,US5TA2400303,Top 200,US,most_streamed
2025-10-23,89,"TAKEDOWN (JEONGYEON, JIHYO, CHAEYOUNG) (from the Netflix film KPop Demon Hunters)",TWICE,USUG12504881,Top 200,US,most_streamed
2025-10-23,164,Gnarly,KATSEYE,USUM72503410,Top 200,US,most_streamed
2025-10-23,60,Gabriela,KATSEYE,USUM72503465,Top 200,US,most_streamed
2025-10-23,86,Strategy (from the Netflix film KPop Demon Hunters),TWICE,US5TA2400303,Top 200,US,most_streamed
2025-10-23,89,"TAKEDOWN (JEONGYEON, JIHYO, CHAEYOUNG) (from the Netflix film KPop Demon Hunters)",TWICE,USUG12504881,Top 200,US,most_streamed
2025-11-13,160,"TAKEDOWN (JEONGYEON, JIHYO, CHAEYOUNG) (from the Netflix film KPop Demon Hunters)",TWICE,USUG12504881,Top 200,US,most_streamed
2025-11-13,151,Strategy (from the Netflix film KPop Demon Hunters),TWICE,US5TA2400303,Top 200,US,most_streamed
2025-11-13,160,"TAKEDOWN (JEONGYEON, JIHYO, CHAEYOUNG) (from the Netflix film KPop Demon Hunters)",TWICE,USUG12504881,Top 200,US,most_streamed
2025-11-13,151,Strategy (from the Netflix film KPop Demon Hunters),TWICE,US5TA2400303,Top 200,US,most_streamed
2025-11-13,58,Gabriela,KATSEYE,USUM72503465,Top 200,US,most_streamed
2025-11-13,167,Snooze,SZA,USRC12204591,Top 200,US,most_streamed
2025-11-13,40,I Run,HAVEN.,QT5M52508515,Top 200,US,most_streamed
2025-11-13,25,WHERE IS MY HUSBAND!,RAYE,QMFME2535037,Top 200,US,most_streamed
2024-07-18,47,Si Antes Te Hubiera Conocido,KAROL G,USUG12400968,Top 200,US,most_streamed
2024-06-20,169,You Shook Me All Night Long,AC/DC,AUAP08000047,Top 200,US,most_streamed
2024-06-20,129,Good Days,SZA,USRC12004189,Top 200,US,most_streamed
2024-06-20,37,Saturn,SZA,USRC12400216,Top 200,US,most_streamed
2024-06-20,101,Kill Bill,SZA,USRC12204584,Top 200,US,most_streamed
2024-06-20,55,Snooze,SZA,USRC12204591,Top 200,US,most_streamed
2024-06-20,185,Broken Clocks,SZA,USRC11701122,Top 200,US,most_streamed
2024-06-20,176,Revenge,XXXTENTACION,USUYG1156895,Top 200,US,most_streamed
2023-07-06,10,Kill Bill,SZA,USRC12204584,Top 200,US,most_streamed
2023-07-06,59,Snooze,SZA,USRC12204591,Top 200,US,most_streamed
2025-01-09,191,Si Antes Te Hubiera Conocido,KAROL G,USUG12400968,Top 200,US,most_streamed
2025-01-09,52,Kill Bill,SZA,USRC12204584,Top 200,US,most_streamed
2025-01-09,194,Crybaby,SZA,USRC12403847,Top 200,US,most_streamed
2025-01-09,98,Another Life,SZA,USRC12403849,Top 200,US,most_streamed
2025-01-09,91,Nobody Gets Me,SZA,USRC12204598,Top 200,US,most_streamed
2025-01-09,45,Snooze,SZA,USRC12204591,Top 200,US,most_streamed
2025-01-09,184,Low,SZA,USRC12204586,Top 200,US,most_streamed
2025-01-09,99,What Do I Do,SZA,USRC12403824,Top 200,US,most_streamed
2025-01-09,36,Scorsese Baby Daddy,SZA,USRC12403827,Top 200,US,most_streamed
2025-01-09,148,Kitchen,SZA,USRC12403848,Top 200,US,most_streamed
2025-01-09,13,BMF,SZA,USRC12403826,Top 200,US,most_streamed
2025-01-09,197,Diamond Boy (DTM),SZA,USRC12403825,Top 200,US,most_streamed
2025-01-09,64,Saturn,SZA,USRC12400216,Top 200,US,most_streamed
2025-01-09,187,Drive,SZA,USRC12403822,Top 200,US,most_streamed
2025-01-09,193,M a k e I t T o T h e M o r n i n g,PARTYNEXTDOOR,USLD91757478,Top 200,US,most_streamed
2025-01-09,186,Dreamin,PARTYNEXTDOOR,USLD91766795,Top 200,US,most_streamed
2025-05-01,136,Saturn,SZA,USRC12400216,Top 200,US,most_streamed
2025-05-01,97,Snooze,SZA,USRC12204591,Top 200,US,most_streamed
2025-05-01,125,Good Days,SZA,USRC12004189,Top 200,US,most_streamed
2025-05-01,87,like JENNIE,JENNIE,USQX92500261,Top 200,US,most_streamed
2022-05-12,47,Wait a Minute!,WILLOW,QMJMT1500801,Top 200,US,most_streamed
2022-05-12,47,Wait a Minute!,WILLOW,QMJMT1500801,Top 200,US,most_streamed
2022-05-12,32,PROVENZA,KAROL G,USUM72205906,Top 200,US,most_streamed
2022-05-12,140,Revenge,XXXTENTACION,USUYG1156895,Top 200,US,most_streamed
2022-05-12,101,abcdefu,GAYLE,USAT22103652,Top 200,US,most_streamed
2023-02-09,15,golden hour,JVKE,GBKPL2204171,Top 200,US,most_streamed
2023-02-09,88,Revenge,XXXTENTACION,USUYG1156895,Top 200,US,most_streamed
2023-02-09,116,Break from Toronto,PARTYNEXTDOOR,USWB11302160,Top 200,US,most_streamed
2023-02-09,21,Snooze,SZA,USRC12204591,Top 200,US,most_streamed
2023-02-09,38,Nobody Gets Me,SZA,USRC12204598,Top 200,US,most_streamed
2023-02-09,70,Blind,SZA,USRC12204589,Top 200,US,most_streamed
2023-02-09,37,Shirt,SZA,USRC12203632,Top 200,US,most_streamed
2023-02-09,160,Love Language,SZA,USRC12204588,Top 200,US,most_streamed
2023-02-09,1,Kill Bill,SZA,USRC12204584,Top 200,US,most_streamed
2023-02-09,75,Good Days,SZA,USRC12004189,Top 200,US,most_streamed
2023-02-09,20,Low,SZA,USRC12204586,Top 200,US,most_streamed
2024-03-07,183,TRUCK BED,HARDY,QZ22S2200079,Top 200,US,most_streamed
2024-03-07,9,Saturn,SZA,USRC12400216,Top 200,US,most_streamed
2024-03-07,76,Good Days,SZA,USRC12004189,Top 200,US,most_streamed
2024-03-07,73,Kill Bill,SZA,USRC12204584,Top 200,US,most_streamed
2024-03-07,141,Broken Clocks,SZA,USRC11701122,Top 200,US,most_streamed
2024-03-07,23,Snooze,SZA,USRC12204591,Top 200,US,most_streamed
2024-03-07,183,TRUCK BED,HARDY,QZ22S2200079,Top 200,US,most_streamed
2024-03-07,165,Break from Toronto,PARTYNEXTDOOR,USWB11302160,Top 200,US,most_streamed
2022-03-31,148,Ni**as In Paris,JAY-Z,USUM71111621,Top 200,US,most_streamed
2022-03-31,87,I Hate U,SZA,USRC12103605,Top 200,US,most_streamed
2022-03-31,134,Good Days,SZA,,Top 200,US,most_streamed
2022-03-31,162,Flower Shops (feat. Morgan Wallen),ERNEST,QZ22S2100091,Top 200,US,most_streamed
2022-03-31,50,Wait a Minute!,WILLOW,QMJMT1500801,Top 200,US,most_streamed
2022-03-31,83,Revenge,XXXTENTACION,USUYG1156895,Top 200,US,most_streamed
2022-03-31,151,Fuck Love (feat. Trippie Redd),XXXTENTACION,USUYG1156898,Top 200,US,most_streamed
2022-03-31,196,Jocelyn Flores,XXXTENTACION,USUYG1156892,Top 200,US,most_streamed
2022-03-31,43,Better Days (NEIKED x Mae Muller x Polo G),NEIKED,GBUM72106057,Top 200,US,most_streamed
2022-03-31,25,abcdefu,GAYLE,USAT22103652,Top 200,US,most_streamed
2022-03-31,190,this is what falling in love feels like,JVKE,GBKPL2163189,Top 200,US,most_streamed
2022-03-31,50,Wait a Minute!,WILLOW,QMJMT1500801,Top 200,US,most_streamed
2023-08-10,66,Cupid - Twin Ver.,FIFTY FIFTY,KSA012239181,Top 200,US,most_streamed
2023-08-10,153,TRUCK BED,HARDY,QZ22S2200079,Top 200,US,most_streamed
2023-08-10,111,golden hour,JVKE,GBKPL2204171,Top 200,US,most_streamed
2023-08-10,48,Snooze,SZA,USRC12204591,Top 200,US,most_streamed
2023-08-10,17,Kill Bill,SZA,USRC12204584,Top 200,US,most_streamed
2023-08-10,153,TRUCK BED,HARDY,QZ22S2200079,Top 200,US,most_streamed
2023-08-10,180,Break from Toronto,PARTYNEXTDOOR,USWB11302160,Top 200,US,most_streamed
2025-03-20,126,BMF,SZA,USRC12403826,Top 200,US,most_streamed
2025-03-20,154,Saturn,SZA,USRC12400216,Top 200,US,most_streamed
2025-03-20,102,Snooze,SZA,USRC12204591,Top 200,US,most_streamed
2025-03-20,116,Good Days,SZA,USRC12004189,Top 200,US,most_streamed
2025-03-20,185,Nobody Gets Me,SZA,USRC12204598,Top 200,US,most_streamed
2025-03-20,144,Kill Bill,SZA,USRC12204584,Top 200,US,most_streamed
2025-03-20,91,like JENNIE,JENNIE,USQX92500261,Top 200,US,most_streamed
2022-02-24,119,Ni**as In Paris,JAY-Z,USUM71111621,Top 200,US,most_streamed
2022-02-24,36,I Hate U,SZA,USRC12103605,Top 200,US,most_streamed
2022-02-24,104,Good Days,SZA,,Top 200,US,most_streamed
2022-02-24,170,Jocelyn Flores,XXXTENTACION,USUYG1156892,Top 200,US,most_streamed
2022-02-24,38,Better Days (NEIKED x Mae Muller x Polo G),NEIKED,GBUM72106057,Top 200,US,most_streamed
2022-02-24,198,Classic,MKTO,USSM11301446,Top 200,US,most_streamed
2022-02-24,11,abcdefu,GAYLE,USAT22103652,Top 200,US,most_streamed
2022-02-24,167,Scared Money (feat. J. Cole and Moneybagg Yo),YG,,Top 200,US,most_streamed
2023-11-30,86,Break from Toronto,PARTYNEXTDOOR,USWB11302160,Top 200,US,most_streamed
2023-11-30,171,golden hour,JVKE,GBKPL2204171,Top 200,US,most_streamed
2023-11-30,194,Good Days,SZA,USRC12004189,Top 200,US,most_streamed
2023-11-30,30,Snooze,SZA,USRC12204591,Top 200,US,most_streamed
2023-11-30,37,Kill Bill,SZA,USRC12204584,Top 200,US,most_streamed
2025-12-11,147,"Merry Christmas, Happy Holidays",*NSYNC,DEA819800761,Top 200,US,most_streamed
2025-12-11,118,Gabriela,KATSEYE,USUM72503465,Top 200,US,most_streamed
2025-12-11,53,WHERE IS MY HUSBAND!,RAYE,QMFME2535037,Top 200,US,most_streamed
2023-09-21,163,Cupid - Twin Ver.,FIFTY FIFTY,KSA012239181,Top 200,US,most_streamed
2023-09-21,110,MI EX TENÍA RAZÓN,KAROL G,USUG12305253,Top 200,US,most_streamed
2023-09-21,87,Break from Toronto,PARTYNEXTDOOR,USWB11302160,Top 200,US,most_streamed
2023-09-21,194,TRUCK BED,HARDY,QZ22S2200079,Top 200,US,most_streamed
2023-09-21,147,golden hour,JVKE,GBKPL2204171,Top 200,US,most_streamed
2023-09-21,21,Kill Bill,SZA,USRC12204584,Top 200,US,most_streamed
2023-09-21,160,Good Days,SZA,USRC12004189,Top 200,US,most_streamed
2023-09-21,16,Snooze,SZA,USRC12204591,Top 200,US,most_streamed
2023-09-21,194,TRUCK BED,HARDY,QZ22S2200079,Top 200,US,most_streamed
2023-06-15,48,golden hour,JVKE,GBKPL2204171,Top 200,US,most_streamed
2023-06-15,6,Kill Bill,SZA,USRC12204584,Top 200,US,most_streamed
2023-06-15,156,Low,SZA,USRC12204586,Top 200,US,most_streamed
2023-06-15,51,Snooze,SZA,USRC12204591,Top 200,US,most_streamed
2023-06-15,22,Cupid - Twin Ver.,FIFTY FIFTY,KSA012239181,Top 200,US,most_streamed
2023-06-15,60,Take Two,BTS,USA2P2323050,Top 200,US,most_streamed
2025-01-23,27,Tweaker,GELO,QT3F42457524,Top 200,US,most_streamed
2025-01-23,106,Si Antes Te Hubiera Conocido,KAROL G,USUG12400968,Top 200,US,most_streamed
2025-01-23,77,Saturn,SZA,USRC12400216,Top 200,US,most_streamed
2025-01-23,51,Kill Bill,SZA,USRC12204584,Top 200,US,most_streamed
2025-01-23,46,Snooze,SZA,USRC12204591,Top 200,US,most_streamed
2025-01-23,71,Scorsese Baby Daddy,SZA,USRC12403827,Top 200,US,most_streamed
2025-01-23,22,BMF,SZA,USRC12403826,Top 200,US,most_streamed
2025-01-23,93,Nobody Gets Me,SZA,USRC12204598,Top 200,US,most_streamed
2025-01-23,184,M a k e I t T o T h e M o r n i n g,PARTYNEXTDOOR,USLD91757478,Top 200,US,most_streamed
2025-09-04,115,Gnarly,KATSEYE,USUM72503410,Top 200,US,most_streamed
2025-09-04,167,Touch,KATSEYE,USUM72407248,Top 200,US,most_streamed
2025-09-04,59,Gabriela,KATSEYE,USUM72503465,Top 200,US,most_streamed
2025-10-09,52,Gabriela,KATSEYE,USUM72503465,Top 200,US,most_streamed
2025-10-09,133,Gnarly,KATSEYE,USUM72503410,Top 200,US,most_streamed
2021-12-23,23,I Hate U,SZA,USRC12103605,Top 200,US,most_streamed
2021-12-23,122,Good Days,SZA,,Top 200,US,most_streamed
2021-12-23,148,Pope Is a Rockstar,SALES,,Top 200,US,most_streamed
2021-12-23,133,Do It To It,ACRAZE,QZFPL2100100,Top 200,US,most_streamed
2021-12-23,69,Better Days (NEIKED x Mae Muller x Polo G),NEIKED,GBUM72106057,Top 200,US,most_streamed
2021-12-23,18,abcdefu,GAYLE,USAT22103652,Top 200,US,most_streamed
2025-12-18,113,"Merry Christmas, Happy Holidays",*NSYNC,DEA819800761,Top 200,US,most_streamed
2025-12-18,144,Gabriela,KATSEYE,USUM72503465,Top 200,US,most_streamed
2025-12-18,52,WHERE IS MY HUSBAND!,RAYE,QMFME2535037,Top 200,US,most_streamed
2023-05-25,9,Cupid - Twin Ver.,FIFTY FIFTY,KSA012239181,Top 200,US,most_streamed
2023-05-25,167,Revenge,XXXTENTACION,USUYG1156895,Top 200,US,most_streamed
2023-05-25,200,Break from Toronto,PARTYNEXTDOOR,USWB11302160,Top 200,US,most_streamed
2023-05-25,39,golden hour,JVKE,GBKPL2204171,Top 200,US,most_streamed
2023-05-25,6,Kill Bill,SZA,USRC12204584,Top 200,US,most_streamed
2023-05-25,48,Snooze,SZA,USRC12204591,Top 200,US,most_streamed
2023-05-25,108,Low,SZA,USRC12204586,Top 200,US,most_streamed
2023-05-25,176,Good Days,SZA,USRC12004189,Top 200,US,most_streamed
2022-01-27,23,I Hate U,SZA,USRC12103605,Top 200,US,most_streamed
2022-01-27,78,Good Days,SZA,,Top 200,US,most_streamed
2025-05-29,193,Saturn,SZA,USRC12400216,Top 200,US,most_streamed
2025-05-29,82,Snooze,SZA,USRC12204591,Top 200,US,most_streamed
2025-05-29,141,Good Days,SZA,USRC12004189,Top 200,US,most_streamed
2025-05-29,115,LATINA FOREVA,KAROL G,USUG12502629,Top 200,US,most_streamed
2025-05-29,116,Gnarly,KATSEYE,USUM72503410,Top 200,US,most_streamed
2025-05-29,188,like JENNIE,JENNIE,USQX92500261,Top 200,US,most_streamed
2025-07-17,75,Gabriela,KATSEYE,USUM72503465,Top 200,US,most_streamed
2025-07-17,159,Gnarly,KATSEYE,USUM72503410,Top 200,US,most_streamed
2025-07-17,67,"TAKEDOWN (JEONGYEON, JIHYO, CHAEYOUNG) (from the Netflix film KPop Demon Hunters)",TWICE,USUG12504881,Top 200,US,most_streamed
2025-07-17,90,Strategy (from the Netflix film KPop Demon Hunters),TWICE,US5TA2400303,Top 200,US,most_streamed
2025-07-17,177,Africa,TOTO,USSM19801941,Top 200,US,most_streamed
2025-07-24,61,"TAKEDOWN (JEONGYEON, JIHYO, CHAEYOUNG) (from the Netflix film KPop Demon Hunters)",TWICE,USUG12504881,Top 200,US,most_streamed
2025-07-24,78,Strategy (from the Netflix film KPop Demon Hunters),TWICE,US5TA2400303,Top 200,US,most_streamed
2025-07-24,42,JUMP,BLACKPINK,KRA402400094,Top 200,US,most_streamed
2025-07-24,92,Gabriela,KATSEYE,USUM72503465,Top 200,US,most_streamed
2025-07-24,174,Gnarly,KATSEYE,USUM72503410,Top 200,US,most_streamed
2025-07-24,61,"TAKEDOWN (JEONGYEON, JIHYO, CHAEYOUNG) (from the Netflix film KPop Demon Hunters)",TWICE,USUG12504881,Top 200,US,most_streamed
2025-07-24,78,Strategy (from the Netflix film KPop Demon Hunters),TWICE,US5TA2400303,Top 200,US,most_streamed
2025-07-03,158,Snooze,SZA,USRC12204591,Top 200,US,most_streamed
2025-07-03,155,Si Antes Te Hubiera Conocido,KAROL G,USUG12400968,Top 200,US,most_streamed
2025-07-03,179,LATINA FOREVA,KAROL G,USUG12502629,Top 200,US,most_streamed
2023-09-07,119,Cupid - Twin Ver.,FIFTY FIFTY,KSA012239181,Top 200,US,most_streamed
2023-09-07,67,MI EX TENÍA RAZÓN,KAROL G,USUG12305253,Top 200,US,most_streamed
2023-09-07,169,S91,KAROL G,USUG12305255,Top 200,US,most_streamed
2023-09-07,166,AMARGURA,KAROL G,USUM72222552,Top 200,US,most_streamed
2023-09-07,145,TRUCK BED,HARDY,QZ22S2200079,Top 200,US,most_streamed
2023-09-07,146,golden hour,JVKE,GBKPL2204171,Top 200,US,most_streamed
2023-09-07,23,Snooze,SZA,USRC12204591,Top 200,US,most_streamed
2023-09-07,193,Good Days,SZA,USRC12004189,Top 200,US,most_streamed
2023-09-07,21,Kill Bill,SZA,USRC12204584,Top 200,US,most_streamed
2023-09-07,137,Break from Toronto,PARTYNEXTDOOR,USWB11302160,Top 200,US,most_streamed
2023-09-07,145,TRUCK BED,HARDY,QZ22S2200079,Top 200,US,most_streamed
2025-01-30,37,Tweaker,GELO,QT3F42457524,Top 200,US,most_streamed
2025-01-30,197,Break from Toronto,PARTYNEXTDOOR,USWB11302160,Top 200,US,most_streamed
2025-01-30,189,M a k e I t T o T h e M o r n i n g,PARTYNEXTDOOR,USLD91757478,Top 200,US,most_streamed
2025-01-30,24,BMF,SZA,USRC12403826,Top 200,US,most_streamed
2025-01-30,46,Snooze,SZA,USRC12204591,Top 200,US,most_streamed
2025-01-30,52,Kill Bill,SZA,USRC12204584,Top 200,US,most_streamed
2025-01-30,106,Nobody Gets Me,SZA,USRC12204598,Top 200,US,most_streamed
2025-01-30,68,Saturn,SZA,USRC12400216,Top 200,US,most_streamed
2025-01-30,84,Scorsese Baby Daddy,SZA,USRC12403827,Top 200,US,most_streamed
2025-01-30,151,Si Antes Te Hubiera Conocido,KAROL G,USUG12400968,Top 200,US,most_streamed
2023-01-26,42,Blind,SZA,USRC12204589,Top 200,US,most_streamed
2023-01-26,56,Good Days,SZA,USRC12004189,Top 200,US,most_streamed
2023-01-26,175,Special,SZA,USRC12204597,Top 200,US,most_streamed
2023-01-26,186,I Hate U,SZA,USRC12103605,Top 200,US,most_streamed
2023-01-26,2,Kill Bill,SZA,USRC12204584,Top 200,US,most_streamed
2023-01-26,25,Shirt,SZA,USRC12203632,Top 200,US,most_streamed
2023-01-26,14,Low,SZA,USRC12204586,Top 200,US,most_streamed
2023-01-26,106,Seek & Destroy,SZA,USRC12204585,Top 200,US,most_streamed
2023-01-26,98,Love Language,SZA,USRC12204588,Top 200,US,most_streamed
2023-01-26,24,Nobody Gets Me,SZA,USRC12204598,Top 200,US,most_streamed
2023-01-26,19,Snooze,SZA,USRC12204591,Top 200,US,most_streamed
2023-01-26,74,MOONLIGHT SUNRISE,TWICE,US5TA2200206,Top 200,US,most_streamed
2025-12-25,84,WHERE IS MY HUSBAND!,RAYE,QMFME2535037,Top 200,US,most_streamed
2023-07-06,72,golden hour,JVKE,GBKPL2204171,Top 200,US,most_streamed
